Key, Video,Key,Video
1,1,O,19
2,2,P,20
3,3,A,21
4,4,S,22
5,5,D,23
6,6,F,24
7,7,G,25
8,8,H,26
9,9,J,27
0,10,K,28
Q,11,L,29
W,12,Z,30
E,13,X,31
R,14,C,32
T,15,V,33
Y,16,B,34
U,17,N,35
I,18,M,36
